statename,districtname,crop,cropyear,season,area,production,statenorm,districtnorm,yieldcalc,lat,lon,Rainfall_sum_x,Tavg_mean_x,Tmax_mean_x,Tmin_mean_x,ET0_sum_x,GDD_sum_x,Rainfall_sum_y,Tavg_mean_y,Tmax_mean_y,Tmin_mean_y,ET0_sum_y,GDD_sum_y
Andaman and Nicobar Islands,NICOBARS,Rice,2010,Autumn,3.5,10.0,andaman and nicobar islands,nicobars,2.857142857142857,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NICOBARS,Sugarcane,2010,Autumn,13.4,41.75,andaman and nicobar islands,nicobars,3.1156716417910446,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NICOBARS,Arecanut,2010,Rabi,944.0,1610.0,andaman and nicobar islands,nicobars,1.7055084745762712,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NICOBARS,Black pepper,2010,Rabi,23.0,8.5,andaman and nicobar islands,nicobars,0.3695652173913043,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NICOBARS,Cashewnut,2010,Rabi,1000.5,260.5,andaman and nicobar islands,nicobars,0.26036981509245377,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NICOBARS,Dry chillies,2010,Rabi,12.0,25.0,andaman and nicobar islands,nicobars,2.0833333333333335,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NICOBARS,Dry ginger,2010,Rabi,7.0,9.64,andaman and nicobar islands,nicobars,1.3771428571428572,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NICOBARS,Maize,2010,Rabi,3.84,18.22,andaman and nicobar islands,nicobars,4.744791666666667,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NICOBARS,Moong(Green Gram),2010,Rabi,1.5,1.1,andaman and nicobar islands,nicobars,0.7333333333333334,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NICOBARS,Sweet potato,2010,Rabi,22.0,208.0,andaman and nicobar islands,nicobars,9.454545454545455,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NICOBARS,Turmeric,2010,Rabi,2.0,0.5,andaman and nicobar islands,nicobars,0.25,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NICOBARS,Urad,2010,Rabi,1.5,1.16,andaman and nicobar islands,nicobars,0.7733333333333333,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NICOBARS,Banana,2010,Whole Year,593.0,3425.0,andaman and nicobar islands,nicobars,5.775716694772344,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NICOBARS,Coconut,2010,Whole Year,14560.0,71300000.0,andaman and nicobar islands,nicobars,4896.978021978022,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NICOBARS,Tapioca,2010,Whole Year,69.0,575.0,andaman and nicobar islands,nicobars,8.333333333333334,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rice,2010,Autumn,6791.0,20118.0,andaman and nicobar islands,north and middle andaman,2.9624503018701223,12.6112387,92.8316541,,,,,,,0.0,28.259999999999998,28.837397260273978,27.652410958904113,170.9658274694765,6659.390000000003
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sugarcane,2010,Autumn,73.33,889.2,andaman and nicobar islands,north and middle andaman,12.126005727533071,12.6112387,92.8316541,,,,,,,0.0,28.259999999999998,28.837397260273978,27.652410958904113,170.9658274694765,6659.390000000003
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Arecanut,2010,Rabi,1296.0,2290.0,andaman and nicobar islands,north and middle andaman,1.7669753086419753,12.6112387,92.8316541,,,,,,,0.0,28.259999999999998,28.837397260273978,27.652410958904113,170.9658274694765,6659.390000000003
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Arhar/Tur,2010,Rabi,294.5,90.8,andaman and nicobar islands,north and middle andaman,0.30831918505942274,12.6112387,92.8316541,,,,,,,0.0,28.259999999999998,28.837397260273978,27.652410958904113,170.9658274694765,6659.390000000003
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Black pepper,2010,Rabi,168.0,13.5,andaman and nicobar islands,north and middle andaman,0.08035714285714286,12.6112387,92.8316541,,,,,,,0.0,28.259999999999998,28.837397260273978,27.652410958904113,170.9658274694765,6659.390000000003
