statename,districtname,crop,cropyear,season,statenorm,districtnorm
Andaman and Nicobar Islands,NICOBARS,Rice,2010,Autumn,andaman and nicobar islands,nicobars
Andaman and Nicobar Islands,NICOBARS,Sugarcane,2010,Autumn,andaman and nicobar islands,nicobars
Andaman and Nicobar Islands,NICOBARS,Arecanut,2010,Rabi,andaman and nicobar islands,nicobars
Andaman and Nicobar Islands,NICOBARS,Black pepper,2010,Rabi,andaman and nicobar islands,nicobars
Andaman and Nicobar Islands,NICOBARS,Cashewnut,2010,Rabi,andaman and nicobar islands,nicobars
Andaman and Nicobar Islands,NICOBARS,Dry chillies,2010,Rabi,andaman and nicobar islands,nicobars
Andaman and Nicobar Islands,NICOBARS,Dry ginger,2010,Rabi,andaman and nicobar islands,nicobars
Andaman and Nicobar Islands,NICOBARS,Maize,2010,Rabi,andaman and nicobar islands,nicobars
Andaman and Nicobar Islands,NICOBARS,Moong(Green Gram),2010,Rabi,andaman and nicobar islands,nicobars
Andaman and Nicobar Islands,NICOBARS,Sweet potato,2010,Rabi,andaman and nicobar islands,nicobars
Andaman and Nicobar Islands,NICOBARS,Turmeric,2010,Rabi,andaman and nicobar islands,nicobars
Andaman and Nicobar Islands,NICOBARS,Urad,2010,Rabi,andaman and nicobar islands,nicobars
Andaman and Nicobar Islands,NICOBARS,Banana,2010,Whole Year,andaman and nicobar islands,nicobars
Andaman and Nicobar Islands,NICOBARS,Coconut,2010,Whole Year,andaman and nicobar islands,nicobars
Andaman and Nicobar Islands,NICOBARS,Tapioca,2010,Whole Year,andaman and nicobar islands,nicobars
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rice,2010,Autumn,andaman and nicobar islands,north and middle andaman
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sugarcane,2010,Autumn,andaman and nicobar islands,north and middle andaman
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Arecanut,2010,Rabi,andaman and nicobar islands,north and middle andaman
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Arhar/Tur,2010,Rabi,andaman and nicobar islands,north and middle andaman
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Black pepper,2010,Rabi,andaman and nicobar islands,north and middle andaman
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Cashewnut,2010,Rabi,andaman and nicobar islands,north and middle andaman
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Dry chillies,2010,Rabi,andaman and nicobar islands,north and middle andaman
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Dry ginger,2010,Rabi,andaman and nicobar islands,north and middle andaman
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Groundnut,2010,Rabi,andaman and nicobar islands,north and middle andaman
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Maize,2010,Rabi,andaman and nicobar islands,north and middle andaman
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Moong(Green Gram),2010,Rabi,andaman and nicobar islands,north and middle andaman
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sunflower,2010,Rabi,andaman and nicobar islands,north and middle andaman
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sweet potato,2010,Rabi,andaman and nicobar islands,north and middle andaman
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Turmeric,2010,Rabi,andaman and nicobar islands,north and middle andaman
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Urad,2010,Rabi,andaman and nicobar islands,north and middle andaman
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Banana,2010,Whole Year,andaman and nicobar islands,north and middle andaman
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Coconut,2010,Whole Year,andaman and nicobar islands,north and middle andaman
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Tapioca,2010,Whole Year,andaman and nicobar islands,north and middle andaman
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rice,2010,Autumn,andaman and nicobar islands,south andamans
Andaman and Nicobar Islands,SOUTH ANDAMANS,Sugarcane,2010,Autumn,andaman and nicobar islands,south andamans
Andaman and Nicobar Islands,SOUTH ANDAMANS,Arecanut,2010,Rabi,andaman and nicobar islands,south andamans
Andaman and Nicobar Islands,SOUTH ANDAMANS,Arhar/Tur,2010,Rabi,andaman and nicobar islands,south andamans
Andaman and Nicobar Islands,SOUTH ANDAMANS,Black pepper,2010,Rabi,andaman and nicobar islands,south andamans
Andaman and Nicobar Islands,SOUTH ANDAMANS,Cashewnut,2010,Rabi,andaman and nicobar islands,south andamans
Andaman and Nicobar Islands,SOUTH ANDAMANS,Dry chillies,2010,Rabi,andaman and nicobar islands,south andamans
Andaman and Nicobar Islands,SOUTH ANDAMANS,Dry ginger,2010,Rabi,andaman and nicobar islands,south andamans
Andaman and Nicobar Islands,SOUTH ANDAMANS,Groundnut,2010,Rabi,andaman and nicobar islands,south andamans
Andaman and Nicobar Islands,SOUTH ANDAMANS,Maize,2010,Rabi,andaman and nicobar islands,south andamans
Andaman and Nicobar Islands,SOUTH ANDAMANS,Moong(Green Gram),2010,Rabi,andaman and nicobar islands,south andamans
