yieldcalc,production,area
2.857143,10.0,3.5
3.1156716,41.75,13.4
1.7055085,1610.0,944.0
0.36956522,8.5,23.0
0.2603698,260.5,1000.5
2.0833333,25.0,12.0
1.3771429,9.64,7.0
4.7447915,18.22,3.84
0.73333335,1.1,1.5
9.454545,208.0,22.0
0.25,0.5,2.0
0.7733333,1.16,1.5
5.775717,3425.0,593.0
4896.978,71300000.0,14560.0
8.333333,575.0,69.0
2.9624503,20118.0,6791.0
12.126006,889.2,73.33
1.7669753,2290.0,1296.0
0.30831918,90.8,294.5
0.08035714,13.5,168.0
0.46153846,39.0,84.5
1.5826771,402.0,254.0
9.198545,1011.84,110.0
1.431579,6.8,4.75
1.1118801,96.4,86.7
0.47625363,556.55,1168.6
0.6551724,1.9,2.9
4.40367,480.0,109.0
5.5367646,376.5,68.0
0.433025,458.79,1059.5
12.127854,7968.0,657.0
3462.3772,12700000.0,3668.0
7.2654157,1355.0,186.5
2.3741775,3788.0,1595.5
5.9555554,402.0,67.5
0.99372387,1900.0,1912.0
0.6439024,13.2,20.5
0.23960881,98.0,409.0
0.7,10.5,15.0
1.15625,148.0,128.0
8.814042,828.52,94.0
0.4903226,7.6,15.5
3.4657533,253.0,73.0
0.59699,17.85,29.9
0.5,0.5,1.0
7.34375,235.0,32.0
10.5,105.0,10.0
0.44264707,15.05,34.0
15.325,5517.0,360.0
3107.3447,11000000.0,3540.0
9.777778,220.0,22.5
0.16899702,11156.0,66013.0
0.7288557,1465.0,2010.0
0.8768484,3795.0,4328.0
0.68626094,2977.0,4338.0
3.7129066,7307.0,1968.0
0.54899967,446928.0,814077.0
0.48396948,317.0,655.0
0.7939371,2069.0,2606.0
4.7710238,51174.0,10726.0
8.9375,286.0,32.0
0.31731984,251.0,791.0
16.619753,26924.0,1620.0
1.7819829,3343.0,1876.0
2.9167356,102007.0,34973.0
0.9299191,345.0,371.0
1.703924,2866.0,1682.0
0.42857143,6.0,14.0
0.8,4.0,5.0
0.7809953,73601.0,94240.0
1.7039964,34068.0,19993.0
0.5631958,860.0,1527.0
0.62498116,8296.0,13274.0
9.117053,43306.0,4750.0
0.3493976,29.0,83.0
26.90523,8233.0,306.0
1.4946043,831.0,556.0
2.7949896,69394.0,24828.0
0.6888889,31.0,45.0
0.53488374,299.0,559.0
1.3053435,171.0,131.0
0.44498777,182.0,409.0
50.68501,223825.0,4416.0
0.6770618,3604.0,5323.0
11.238095,236.0,21.0
89.28085,20981.0,235.0
0.7988646,14072.0,17615.0
12.75,51.0,4.0
1.6206896,282.0,174.0
7.8461537,102.0,13.0
0.108014256,1182.0,10943.0
1.9091204,5882.0,3081.0
0.87777776,158.0,180.0
0.41702127,98.0,235.0
1.0750021,159741.0,148596.0
0.4840399,1941.0,4010.0
